size,k,hnswlib_time,fgc_time,count,dimension
100000,10,614.7892475128174,356.5514087677002,1,3
100000,40,604.3424606323242,58.463096618652344,1,3
100000,100,584.1374397277832,74.7213363647461,1,3
100000,10,635.7517242431641,112.6694679260254,1,5
100000,40,610.4867458343506,187.67666816711423,1,5
100000,100,607.0506572723389,328.3400535583496,1,5
150000,10,852.2751331329346,38.65337371826172,1,3
150000,40,862.5545501708984,85.55841445922852,1,3
150000,100,866.2400245666504,94.04778480529784,1,3
150000,10,932.7476024627686,231.44960403442383,1,5
150000,40,901.7782211303712,338.4814262390137,1,5
150000,100,930.3748607635498,492.77424812316895,1,5
200000,10,1154.7458171844482,55.413007736206055,1,3
200000,40,1190.692663192749,79.51021194458008,1,3
200000,100,1168.3223247528076,129.10056114196777,1,3
200000,10,1265.2473449707031,291.5325164794922,1,5
200000,40,1292.0191287994385,413.2547378540039,1,5
200000,100,1248.392105102539,606.7371368408203,1,5
250000,10,1494.7350025177002,50.83155632019043,1,3
250000,40,1465.7385349273682,78.63259315490723,1,3
250000,100,1449.380874633789,148.44322204589844,1,3
250000,10,1566.9801235198977,395.0643539428711,1,5
250000,40,1588.9809131622314,571.8245506286621,1,5
250000,100,1617.1777248382568,836.8122577667236,1,5
300000,10,1736.4003658294678,24.608850479125977,1,3
300000,40,1748.3415603637695,43.34759712219238,1,3
300000,100,1728.7709712982178,72.02792167663574,1,3
300000,10,1946.8023777008057,483.78753662109375,1,5
300000,40,1945.474624633789,681.1213493347168,1,5
300000,100,1932.7442646026611,718.5685634613037,1,5
350000,10,2039.2911434173584,15.405893325805664,1,3
350000,40,1998.4748363494873,107.79428482055664,1,3
350000,100,2041.8555736541748,187.99090385437012,1,3
350000,10,2195.2290534973145,308.82835388183594,1,5
350000,40,2188.927412033081,546.6036796569824,1,5
350000,100,2253.655433654785,1345.1545238494873,1,5
400000,10,2348.2797145843506,61.38324737548828,1,3
400000,40,2373.9895820617676,53.577423095703125,1,3
400000,100,2354.0501594543457,183.55822563171387,1,3
400000,10,2625.7362365722656,718.4016704559326,1,5
400000,40,2626.8699169158936,620.2242374420166,1,5
400000,100,2734.3058586120605,1503.8514137268066,1,5
450000,10,2617.958068847656,62.58678436279297,1,3
450000,40,2619.582414627075,61.850547790527344,1,3
450000,100,2694.819688796997,147.60780334472656,1,3
450000,10,3033.0843925476074,823.2533931732178,1,5
450000,40,3052.5825023651123,675.0147342681885,1,5
450000,100,3183.796167373657,1502.8843879699707,1,5
500000,10,2966.8188095092773,76.89309120178223,1,3
500000,40,2931.3766956329346,48.97761344909668,1,3
500000,100,2990.980386734009,189.19968605041504,1,3
500000,10,3386.981725692749,967.3125743865968,1,5
500000,40,3425.8501529693604,843.5511589050293,1,5
500000,100,3554.084300994873,2216.564655303955,1,5
600000,10,3532.665491104126,83.23812484741211,1,3
600000,40,3556.612014770508,88.90366554260254,1,3
600000,100,3575.0274658203125,352.830171585083,1,3
600000,10,3988.7032508850098,809.8385334014893,1,5
600000,40,4082.786321640014,1847.116231918335,1,5
600000,100,4170.1531410217285,1831.3941955566409,1,5
700000,10,4141.85357093811,156.26835823059082,1,3
700000,40,4073.2128620147705,117.9666519165039,1,3
700000,100,4106.260538101196,433.61544609069824,1,3
700000,10,4854.049444198608,1008.5046291351318,1,5
700000,40,4945.3277587890625,2340.3143882751465,1,5
700000,100,5286.316394805908,3115.6229972839355,1,5
800000,10,4930.537939071655,103.68680953979492,1,3
800000,40,4908.432245254517,300.6322383880615,1,3
800000,100,4760.736703872681,277.3163318634033,1,3
800000,10,5697.762489318848,2150.9644985198975,1,5
800000,40,5694.096803665161,2412.2138023376465,1,5
800000,100,5969.03657913208,2686.854362487793,1,5
900000,10,5297.525644302368,220.4117774963379,1,3
900000,40,5229.269742965698,180.8481216430664,1,3
900000,100,5340.075731277466,582.3428630828857,1,3
900000,10,7211.919784545898,2425.3885746002197,1,5
900000,40,6342.7674770355225,2515.111207962036,1,5
900000,100,6867.101430892944,3771.7151641845703,1,5
1000000,10,5929.785490036011,176.5446662902832,1,3
1000000,40,6019.92130279541,392.6396369934082,1,3
1000000,100,5976.183652877808,681.3235282897949,1,3
1000000,10,7227.454662322998,1749.6740818023682,1,5
1000000,40,7279.352188110352,2545.259475708008,1,5
1000000,100,7923.142671585083,4814.9659633636475,1,5
1500000,10,10123.759746551514,635.4739665985107,1,3
1500000,40,9514.33563232422,767.4202919006348,1,3
1500000,100,9292.081832885742,1331.3915729522705,1,3
1500000,10,11654.895305633543,5593.048095703125,1,5
1500000,40,11596.910238265991,6703.181266784668,1,5
1500000,100,12870.678186416626,8993.24345588684,1,5
2000000,10,12499.455690383911,1216.503381729126,1,3
2000000,40,12729.874849319458,1059.859275817871,1,3
2000000,100,13121.808290481567,2010.310411453247,1,3
2000000,10,17657.70196914673,6714.167356491089,1,5
2000000,40,17771.15797996521,12400.635957717896,1,5
2000000,100,19633.944749832153,15576.663255691528,1,5
2500000,10,17614.479303359985,1863.748550415039,1,3
2500000,40,17490.493774414062,1479.888916015625,1,3
2500000,100,17500.123977661133,2954.8373222351074,1,3
2500000,10,22538.275957107544,11311.39874458313,1,5
2500000,40,21977.0770072937,16290.939092636108,1,5
2500000,100,24115.23127555847,21515.361547470093,1,5
3000000,10,20995.139837265015,2762.638807296753,1,3
3000000,40,20932.74712562561,3407.6857566833496,1,3
3000000,100,21117.589235305782,2850.780725479126,1,3
3000000,10,26076.842308044434,13682.171821594238,1,5
3000000,40,26877.875804901123,22958.313941955566,1,5
3000000,100,30453.782320022583,31514.196157455444,1,5
3500000,10,24200.796842575073,3704.6523094177246,1,3
3500000,40,24364.101886749268,4127.517461776733,1,3
3500000,100,24637.52841949463,4669.560432434082,1,3
3500000,10,32143.77999305725,18095.616102218628,1,5
100000,10,560.4915618896484,319.86427307128906,1,2
100000,40,571.6491540273031,221.9087282816569,3,2
100000,100,590.3706550598145,56.20551109313965,1,2
1000000,10,8017.749071121216,361.1164093017578,1,2
1000000,40,5572.604835033417,926.5733361244202,4,2
1000000,100,5641.414880752564,1571.6123580932615,1,2
5000000,10,32388.616800308228,14215.174198150637,1,2
5000000,40,29643.58675479889,16046.908617019652,2,2
5000000,100,31246.30188941956,19905.691623687744,1,2
100000,10,601.1130809783936,40.0996208190918,1,3
100000,40,618.0971463521322,75.68788528442383,3,3
100000,100,575.9568214416504,66.41411781311035,1,3
1000000,10,6227.487802505493,162.8704071044922,1,3
1000000,40,6319.125334421794,261.96591059366864,3,3
1000000,100,6180.994272232056,538.4740829467773,1,3
5000000,10,34351.126194000244,5052.417993545532,1,3
5000000,40,33130.555868148804,3699.207663536072,2,3
5000000,100,35324.19419288635,5138.530731201172,1,3
100000,10,623.3439445495605,55.25994300842285,1,4
100000,40,624.6260007222494,97.55245844523112,3,4
100000,100,595.9570407867432,91.0658836364746,1,4
1000000,10,6699.143171310425,1043.9348220825195,1,4
1000000,40,6926.711479822795,1451.9311587015789,3,4
1000000,100,6827.147960662842,2528.0981063842773,1,4
5000000,40,38192.89040565491,12772.18246459961,1,4
100000,40,651.4064073562622,170.9728240966797,2,5
1000000,40,7661.513924598694,3095.3822135925293,2,5
5000000,40,42105.15904426575,44687.07656860352,1,5
100000,40,643.2754993438721,179.01098728179932,2,6
1000000,40,8247.53475189209,5921.982049942017,2,6
5000000,40,47160.353660583496,84990.71645736694,1,6
100000,40,640.7207250595093,393.548846244812,2,7
1000000,40,9015.607953071594,9532.833456993105,2,7
5000000,40,55655.620098114014,121410.39037704468,1,7
100000,40,683.9830875396729,408.3396196365357,2,8
1000000,40,9553.611993789673,9563.558578491213,2,8
5000000,40,66821.04897499084,140861.73391342163,1,8
100000,40,752.7652978897095,460.1762294769287,2,9
1000000,40,11224.910616874697,11204.8362493515,2,9
5000000,40,77255.27548789978,198625.9069442749,1,9
100000,40,704.1726112365723,493.6398267745972,2,10
1000000,40,12412.44649887085,14552.13701725006,2,10
5000000,40,80085.74676513672,246848.2356071472,1,10
100000,40,696.4913606643677,520.5769538879395,2,11
1000000,40,12946.576714515686,18589.96844291687,2,11
100000,40,693.3615207672119,831.6953182220459,1,12
1000000,40,14239.478588104248,24435.409784317017,1,12
100000,40,692.8260326385498,962.305784225464,1,13
1000000,40,15879.11319732666,29100.300550460815,1,13
100000,40,720.2262878417969,1143.1686878204346,1,14
1000000,40,15419.602155685425,33460.002183914185,1,14
100000,40,650.4850387573242,1235.9142303466797,1,15
1000000,40,16292.423248291016,37431.01358413696,1,15
100000,40,661.0794067382812,1972.315788269043,1,16
1000000,40,17414.93320465088,99912.99176216124,1,16
100000,40,683.8185787200928,1855.6172847747805,1,17
1000000,40,17864.49360847473,46334.1703414917,1,17
100000,40,685.1279735565186,2037.5587940216064,1,18
1000000,40,18463.993787765503,51951.972007751465,1,18
100000,40,673.4497547149658,1838.421106338501,1,19
1000000,40,19231.193780899048,56949.67246055603,1,19
100000,40,700.8171081542969,2082.847595214844,1,20
1000000,40,24759.20248031616,61346.52996063232,1,20
100000,40,706.7098617553711,2604.2025089263916,1,21
1000000,40,20122.737884521484,69158.70022773743,1,21
100000,40,673.8555431365967,3364.980936050415,1,22
1000000,40,19844.08164024353,74894.12927627563,1,22
100000,40,716.2981033325195,3222.546100616455,1,23
1000000,40,20560.94026565552,78993.14045906067,1,23
100000,40,665.3859615325928,3265.6939029693604,1,24
1000000,40,32078.826904296875,101281.72063827516,1,24
100000,40,747.3351955413818,3819.714784622192,1,25
1000000,40,20155.117988586426,92334.1772556305,1,25
100000,40,711.2655639648438,4384.899139404297,1,26
1000000,40,21440.46711921692,97506.334066391,1,26
