dimension,k,ggnn_time,fgc_time,count,size
2,40,8119.655251502991,615.0871753692627,10,1000000.0
3,40,7913.082599639893,107.85759819878471,9,1000000.0
4,40,8260.770161946615,335.0390858120388,9,1000000.0
5,40,8818.25417942471,914.2719904581704,9,1000000.0
6,40,9359.733157687717,2254.7647953033447,9,1000000.0
7,40,9970.118787553576,5332.023276223077,9,1000000.0
8,40,10523.642248577542,9099.495437410143,9,1000000.0
9,40,11217.922581566703,16572.814570532904,9,1000000.0
10,40,11862.710608376396,26558.11013115777,9,1000000.0
11,40,6248.776356379191,10307.15084075928,6,1000000.0
12,40,6618.913451830546,14217.503706614176,6,1000000.0
13,40,6993.560115496318,19229.748765627544,6,1000000.0
14,40,7368.821700414021,24484.18176174164,6,1000000.0
15,40,7750.474015871682,29571.25643889109,6,1000000.0
16,40,8025.224765141805,65114.66483275096,6,1000000.0
17,40,8526.97749932607,39547.60408401489,6,1000000.0
18,40,8891.66525999705,45017.31701691946,6,1000000.0
19,40,9310.032725334167,48408.93336137136,6,1000000.0
2,10,15358.63971710205,1047.764778137207,3,
2,100,22640.266974767048,2422.92054494222,3,
3,10,14194.759686787924,128.96505991617838,3,
3,100,19617.811520894367,518.159548441569,3,
4,10,14835.166772206623,190.95865885416663,3,
4,100,19932.03632036845,1779.7341346740725,3,
5,10,15915.526946385702,841.271162033081,3,
5,100,21170.97504933675,4328.203121821086,3,
6,10,16968.406915664673,3168.6004002889,3,
6,100,22554.521640141804,10168.198426564535,3,
7,10,18090.26749928793,7518.235445022583,3,
7,100,23556.076129277542,20779.52766418457,3,
8,10,19122.148990631104,13492.740074793495,3,
8,100,24781.841198603313,32967.72368748983,3,
9,10,20429.753303527832,26913.293202718098,3,
9,100,26195.25957107544,56408.89851252238,3,
10,10,21636.586904525757,45148.75149726868,3,
10,100,27665.043830871586,86561.89068158467,3,
2,40,3942.730290549142,381.56795501708984,7,1000000.0
3,40,3790.791789690654,58.57110023498535,6,1000000.0
4,40,4006.238420804342,90.17431735992432,6,1000000.0
5,40,4288.718819618225,307.89907773335773,6,1000000.0
6,40,4583.739201227824,701.0774612426758,6,1000000.0
7,40,4912.5373760859175,1455.0206263860066,6,1000000.0
8,40,5207.788944244385,2422.8301445643106,6,1000000.0
9,40,5562.085787455241,4293.687303860982,6,1000000.0
10,40,5899.366855621338,6782.279133796692,6,1000000.0
11,40,6248.776356379191,10307.15084075928,6,1000000.0
